Absolute Magnitude,Est Dia in KM(min),Relative Velocity km per sec,Miss Dist.(kilometers),Orbit ID,Orbit Uncertainity,Minimum Orbit Intersection,Jupiter Tisserand Invariant,Epoch Osculation,Eccentricity,Inclination,Asc Node Longitude,Orbital Period,Perihelion Distance,Perihelion Arg,Aphelion Dist,Perihelion Time,Mean Anomaly,Mean Motion,hazardous
26.5,0.013321557,7.516462188,35312740,17,1,0.00576149,6.132,2458000.5,0.013948498,4.3209082,264.4056022,359.0658068,0.974877427,87.81644304,1.002458289,2457942.407,58.24402434,1.002601733,0
18.8,0.46190746,21.53473449,69933392,36,1,0.264451,3.214,2458000.5,0.44459978,40.07490632,190.8023227,1233.214308,1.249969645,16.17455003,3.251179614,2458488.264,217.6120228,0.291920064,0
28.15,0.00623096,13.59223294,48298924,14,4,4.42E-05,5.916,2458000.5,0.145894028,3.174319581,10.44411033,383.6026381,0.882471179,85.73153236,1.183949636,2458145.012,224.3796114,0.938471127,0
20.8,0.183888672,8.187885954,57238648,32,2,0.0497576,5.797,2458000.5,0.296206129,7.906473496,128.8405408,394.1587792,0.740447036,242.2931976,1.36371177,2457881.086,109.0655767,0.913337515,1
25.6,0.020162992,14.09120316,40237380,10,7,0.024568,6.797,2458000.5,0.198610407,15.29060134,18.6394879,292.9938206,0.691858139,344.8005314,1.034788039,2458132.945,197.2654368,1.228694855,0
25.4,0.022108281,11.19950105,34836728,17,5,0.0053862,6.79,2458000.5,0.177454625,1.867798491,150.0050897,296.0603494,0.715068661,204.9786871,1.023604203,2457906.714,114.0409109,1.215968301,0
19.4,0.350392641,9.304865523,5421688.5,44,1,0.0215286,5.768,2457800.5,0.12904386,15.08972042,215.4436355,399.2937582,0.924256148,61.17301359,1.198138093,2457865.406,301.4816145,0.901591855,1
21,0.167708462,26.05388051,59935336,9,1,0.175606,4.38,2458000.5,0.545844028,10.42495329,114.7292731,662.417145,0.675399064,354.169234,2.298905386,2457734.923,144.3317647,0.543464194,0
20.9,0.175612319,19.26861257,65708916,34,0,0.0337336,5.148,2458000.5,0.523263109,23.2772054,65.77208246,469.468682,0.563573927,110.1549531,1.800723602,2457785.993,164.4894217,0.766824314,1
19.4,0.350392641,9.304865524,5421688.5,45,1,0.020437,5.768,2458000.5,0.129015347,15.09000476,215.4428313,399.2903412,0.924281133,61.1891387,1.198101,2457865.417,121.7908146,0.90159957,1
18.9,0.4411182,14.34253068,33947260,52,0,0.00433054,3.539,2458000.5,0.532484748,8.168524524,299.0216816,1114.737577,0.983660562,332.9520295,3.224375682,2457678.054,104.1327876,0.322945963,1
24,0.042126461,10.84353509,46063436,12,3,0.0666464,6.379,2458000.5,0.247374753,7.02845027,204.1993483,330.3444547,0.703867931,23.65247194,1.166566083,2458103.637,247.6041478,1.089771585,0
21.494,0.133584164,15.67869704,29137866,9,5,0.0739088,6.696,2458000.5,0.383885058,10.86837596,100.3027573,298.4777408,0.538522793,257.1689857,1.209601643,2457968.782,38.25533,1.206120092,0
17.4,0.880146521,36.90278723,46238112,42,0,0.0508661,3.58,2458000.5,0.563978044,53.82827282,38.98727038,826.5127687,0.751523304,114.9699501,2.695657712,2458079.943,325.3972972,0.435564959,0
